"","Column","X","Reference.Number","Easting","Northing","Number.of.Vehicles","Number.of.Casualties","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Weather.Conditions","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty","Type.of.Vehicle","Latitude","Longitude"
"17",5803,5803,"11309",430112,431742,2,1,"07-Jan-09",1240,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.7809178647,-1.5429728065
"22",9097,9097,"13009",431503,435127,2,1,"09-Jan-09",819,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",31,"Bicycle",53.8112623003,-1.52151538682
"32",12813,12813,"19509",425549,436382,2,1,"07-Jan-09",750,3,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.8228698546,-1.6118411803
"47",13864,13864,"24709",428956,435470,2,1,"13-Jan-09",1550,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",20,"Bicycle",53.814493506,-1.56016701359
"49",13877,13877,"25109",428470,435284,2,1,"13-Jan-09",2130,6,"Wet / Damp","Darkness: street lighting unknown","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.8128484415,-1.5675661848
"55",14030,14030,"29909",428061,435959,2,1,"14-Jan-09",845,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Male",26,"Bicycle",53.8189380732,-1.57371677113
"69",14257,14257,"37009",418301,441336,2,1,"14-Jan-09",1753,3,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Serious","Male",37,"Bicycle",53.8677062919,-1.72166108731
"71",14267,14267,"37309",427887,440270,2,1,"15-Jan-09",1335,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",75,"Bicycle",53.8576977497,-1.57596868016
"91",14551,14551,"46809",427551,431985,2,1,"20-Jan-09",800,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",39,"Bicycle",53.783243987,-1.58181967096
"102",14793,14793,"54309",424019,438460,2,1,"23-Jan-09",730,6,"Wet / Damp","Darkness: street lighting unknown","Unknown","Driver or rider","Slight","Male",44,"Bicycle",53.8416214935,-1.6349231127
"118",15233,15233,"67609",426354,428164,2,1,"23-Jan-09",1325,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",45,"Bicycle",53.7489596043,-1.60031405912
"130",15424,15424,"73309",429797,433923,2,1,"28-Jan-09",1000,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",28,"Bicycle",53.8005404406,-1.54754266299
"131",15475,15475,"75209",428838,434630,2,1,"29-Jan-09",1735,6,"Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",19,"Bicycle",53.8069495303,-1.56203805387
"138",15534,15534,"77309",431074,431989,2,1,"30-Jan-09",1545,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",40,"Bicycle",53.7830815447,-1.528347617
"140",15550,15550,"77809",423583,434592,2,1,"29-Jan-09",740,6,"Wet / Damp","Daylight: street lights present","Other","Driver or rider","Serious","Male",59,"Bicycle",53.8068728033,-1.64184660303
"147",15594,15594,"79209",423015,437661,2,1,"31-Jan-09",1920,3,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",49,"Bicycle",53.8344849123,-1.65024294675
"151",15622,15622,"80209",435518,434819,1,1,"22-Jan-09",1540,6,"Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female",86,"Bicycle",53.8082350638,-1.46057174745
"165",15880,15880,"88909",428678,435628,2,1,"28-Jan-09",1720,3,"Wet / Damp","Darkness: street lights present and lit","Fog or mist ","Driver or rider","Slight","Male",25,"Bicycle",53.8159291333,-1.56437488796
"217",5813,5813,"116109",427111,436977,2,1,"10-Feb-09",1515,6,"Wet / Damp","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",42,"Bicycle",53.8281390265,-1.58805834365
"221",5823,5823,"118409",432419,432576,2,1,"11-Feb-09",1550,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.788275879,-1.50787179117
"268",11621,11621,"143209",428621,436933,2,1,"17-Feb-09",1215,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",33,"Bicycle",53.8276625517,-1.56511925515
"281",11674,11674,"149209",433836,434457,2,1,"20-Feb-09",2113,6,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",14,"Bicycle",53.8050933358,-1.48615568873
"303",12062,12062,"161709",430306,433396,3,1,"27-Feb-09",1740,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",38,"Bicycle",53.7957739783,-1.53986580059
"312",12111,12111,"168509",422157,428037,2,1,"28-Feb-09",845,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",36,"Bicycle",53.7480133455,-1.66397373882
"347",12594,12594,"188609",431821,429049,2,1,"08-Mar-09",1200,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",8,"Bicycle",53.75660953,-1.51731306423
"352",12800,12800,"193109",429011,435493,2,1,"03-Mar-09",2000,6,"Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver or rider","Slight","Female",24,"Bicycle",53.8146971805,-1.55932943853
"353",12804,12804,"193209",423010,437654,2,1,"03-Mar-09",1939,3,"Wet / Damp","Darkness: street lights present and lit","Fine with high winds","Driver or rider","Slight","Male",46,"Bicycle",53.8344222122,-1.65031945391
"360",12835,12835,"198009",428771,433285,2,1,"12-Mar-09",1603,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",41,"Bicycle",53.7948633764,-1.56318121627
"391",13745,13745,"212409",427749,436151,2,1,"15-Mar-09",2130,4,"Dry","Darkness: street lights present and lit","Fine without high winds","Driver or rider","Slight","Male",20,"Bicycle",53.8206806591,-1.57843899467
"397",13755,13755,"214309",434895,433429,2,1,"16-Mar-09",1630,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",65,"Bicycle",53.795783056,-1.47019061228
"409",13775,13775,"218309",431511,436760,2,1,"16-Mar-09",1535,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",38,"Bicycle",53.8259403106,-1.52122659763
"425",13803,13803,"225009",430787,435294,2,1,"20-Mar-09",905,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Male",47,"Bicycle",53.8128062979,-1.53237327084
"427",13806,13806,"225209",428062,435957,2,1,"18-Mar-09",1135,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",65,"Bicycle",53.8189200418,-1.57370176274
"432",13814,13814,"228009",430090,431300,2,1,"24-Mar-09",1004,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",25,"Bicycle",53.7769461067,-1.54334983503
"444",13834,13834,"237009",428096,434522,2,1,"27-Mar-09",830,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",29,"Bicycle",53.8060193608,-1.57331629699
"464",13879,13879,"253409",429691,433788,2,1,"31-Mar-09",1443,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",17,"Bicycle",53.7993330229,-1.54916519812
"465",13880,13880,"253509",427925,437242,2,1,"31-Mar-09",1500,6,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",13,"Bicycle",53.8304779326,-1.57566620875
"478",13897,13897,"258009",428347,429533,2,1,"31-Mar-09",1600,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Male",12,"Bicycle",53.7611607119,-1.5699633591
"485",13908,13908,"259209",435247,434842,2,1,"02-Apr-09",900,3,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Slight","Female",24,"Bicycle",53.8084602402,-1.46468471702
"497",13937,13937,"264309",431650,436116,2,1,"04-Apr-09",1640,4,"Dry","Daylight: street lights present","Fine without high winds","Driver or rider","Serious","Female",12,"Bicycle",53.8201431679,-1.51918101478
