Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle
41,11309,430112,431742,2,1,07-Jan-09,1240,3,2,1,1,1,3,1,17,1
45,19509,425549,436382,2,1,07-Jan-09,750,3,2,1,1,1,3,1,41,1
54,13009,431503,435127,2,1,09-Jan-09,819,3,1,1,1,1,3,1,31,1
80,24709,428956,435470,2,1,13-Jan-09,1550,3,1,1,1,1,2,1,20,1
81,25109,428470,435284,2,1,13-Jan-09,2130,6,2,7,1,1,3,1,38,1
84,29909,428061,435959,2,1,14-Jan-09,845,3,2,4,2,1,3,1,26,1
86,37009,418301,441336,2,1,14-Jan-09,1753,3,2,4,2,1,2,1,37,1
90,345809,424579,435155,2,1,14-Jan-09,1300,3,1,1,1,1,3,1,43,1
94,37309,427887,440270,2,1,15-Jan-09,1335,6,2,1,1,1,3,1,75,1
142,46809,427551,431985,2,1,20-Jan-09,800,3,1,1,1,1,3,1,39,1
157,80209,435518,434819,1,1,22-Jan-09,1540,6,1,1,1,3,3,2,86,1
159,54309,424019,438460,2,1,23-Jan-09,730,6,2,7,9,1,3,1,44,1
165,67609,426354,428164,2,1,23-Jan-09,1325,4,1,1,1,1,3,1,45,1
198,73309,429797,433923,2,1,28-Jan-09,1000,6,2,1,1,1,3,2,28,1
199,88909,428678,435628,2,1,28-Jan-09,1720,3,2,4,7,1,3,1,25,1
203,75209,428838,434630,2,1,29-Jan-09,1735,6,2,4,1,1,3,1,19,1
208,77809,423583,434592,2,1,29-Jan-09,740,6,2,1,8,1,2,1,59,1
220,77309,431074,431989,2,1,30-Jan-09,1545,3,1,1,1,1,3,1,40,1
238,79209,423015,437661,2,1,31-Jan-09,1920,3,1,4,1,1,3,1,49,1
323,116109,427111,436977,2,1,10-Feb-09,1515,6,2,1,1,1,3,1,42,1
336,118409,432419,432576,2,1,11-Feb-09,1550,6,1,1,1,1,3,1,17,1
374,143209,428621,436933,2,1,17-Feb-09,1215,6,1,1,1,1,2,2,33,1
393,149209,433836,434457,2,1,20-Feb-09,2113,6,1,4,1,1,3,1,14,1
429,161709,430306,433396,3,1,27-Feb-09,1740,6,1,1,1,1,3,1,38,1
439,168509,422157,428037,2,1,28-Feb-09,845,3,1,1,1,1,3,1,36,1
463,193109,429011,435493,2,1,03-Mar-09,2000,6,2,4,2,1,3,2,24,1
464,193209,423010,437654,2,1,03-Mar-09,1939,3,2,4,4,1,3,1,46,1
494,188609,431821,429049,2,1,08-Mar-09,1200,6,1,1,1,1,3,1,8,1
520,198009,428771,433285,2,1,12-Mar-09,1603,3,1,1,1,1,3,1,41,1
552,212409,427749,436151,2,1,15-Mar-09,2130,4,1,4,1,1,3,1,20,1
566,214309,434895,433429,2,1,16-Mar-09,1630,6,1,1,1,1,3,1,65,1
567,218309,431511,436760,2,1,16-Mar-09,1535,6,1,1,1,1,2,1,38,1
585,225209,428062,435957,2,1,18-Mar-09,1135,3,1,1,1,1,3,2,65,1
595,222909,429243,433843,2,2,19-Mar-09,1650,6,1,1,1,1,3,1,19,1
604,225009,430787,435294,2,1,20-Mar-09,905,6,1,1,1,1,2,1,47,1
