,City,Code.1,Code.2,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI),LSOA
1,Leeds,001A,E01011698,9,10,8,8,6,10,8,8,10,9,Leeds 001A
2,Leeds,001B,E01011699,10,10,9,10,8,10,10,9,10,10,Leeds 001B
3,Leeds,001C,E01011701,10,10,10,10,8,7,6,9,9,10,Leeds 001C
4,Leeds,001D,E01011702,10,10,10,10,10,10,5,9,10,10,Leeds 001D
5,Leeds,001E,E01011703,10,10,10,10,9,10,3,10,10,10,Leeds 001E
6,Leeds,002A,E01011697,6,7,6,5,3,9,2,7,7,6,Leeds 002A
7,Leeds,002B,E01011700,8,8,8,8,3,9,6,6,9,8,Leeds 002B
8,Leeds,002C,E01011704,6,6,6,6,4,4,8,5,9,5,Leeds 002C
9,Leeds,002D,E01011705,4,4,3,1,4,5,7,6,4,4,Leeds 002D
10,Leeds,003A,E01011581,7,7,6,6,5,9,6,7,7,7,Leeds 003A
11,Leeds,003B,E01011582,3,3,3,2,3,8,3,3,3,3,Leeds 003B
12,Leeds,003C,E01011583,9,8,9,6,7,9,8,6,7,9,Leeds 003C
13,Leeds,003D,E01011584,9,9,8,9,7,5,10,5,8,10,Leeds 003D
14,Leeds,004A,E01011569,7,7,8,9,8,6,9,1,8,7,Leeds 004A
15,Leeds,004B,E01011571,7,6,8,9,6,9,8,2,7,4,Leeds 004B
16,Leeds,004C,E01011572,10,9,9,9,8,10,10,4,8,9,Leeds 004C
17,Leeds,004D,E01011573,8,8,8,6,8,7,5,6,7,7,Leeds 004D
18,Leeds,004E,E01011574,6,6,6,10,3,6,9,2,9,5,Leeds 004E
19,Leeds,005A,E01011707,8,8,7,7,6,8,3,7,7,9,Leeds 005A
20,Leeds,005B,E01011709,10,9,9,10,8,9,9,8,9,9,Leeds 005B
21,Leeds,005C,E01011710,10,9,9,10,7,10,5,7,10,8,Leeds 005C
22,Leeds,005D,E01011711,10,9,9,9,8,9,10,7,10,8,Leeds 005D
23,Leeds,005E,E01011712,9,8,9,8,7,7,6,5,8,9,Leeds 005E
24,Leeds,006A,E01011561,8,9,10,9,7,9,2,3,10,8,Leeds 006A
25,Leeds,006B,E01011696,10,10,9,9,8,9,5,8,10,10,Leeds 006B
26,Leeds,006C,E01011706,10,10,10,10,9,10,7,10,10,10,Leeds 006C
27,Leeds,006D,E01011708,7,9,8,10,7,8,1,7,10,9,Leeds 006D
28,Leeds,006E,E01011713,9,10,10,9,10,9,1,8,10,10,Leeds 006E
29,Leeds,007A,E01011570,10,10,10,9,9,10,6,7,10,9,Leeds 007A
30,Leeds,007C,E01011576,9,10,10,10,9,10,2,6,10,10,Leeds 007C
31,Leeds,007E,E01032503,8,10,10,10,9,7,1,3,10,9,Leeds 007E
32,Leeds,007F,E01032504,10,10,9,10,9,9,3,8,10,10,Leeds 007F
33,Leeds,008A,E01011266,10,10,10,10,10,7,3,5,10,10,Leeds 008A
34,Leeds,008B,E01011270,10,10,9,10,8,8,4,8,10,10,Leeds 008B
35,Leeds,008C,E01011279,8,9,8,8,5,8,5,4,10,6,Leeds 008C
36,Leeds,008D,E01011280,10,10,9,9,8,9,6,6,10,9,Leeds 008D
37,Leeds,009A,E01011265,7,7,8,8,5,5,9,3,8,6,Leeds 009A
38,Leeds,009B,E01011267,3,4,4,3,2,3,4,4,4,5,Leeds 009B
39,Leeds,009C,E01011271,10,10,10,9,10,7,9,6,9,10,Leeds 009C
40,Leeds,009D,E01011272,10,10,10,9,8,9,7,7,10,10,Leeds 009D
41,Leeds,010A,E01011268,2,3,2,1,2,3,5,3,4,3,Leeds 010A
42,Leeds,010B,E01011273,6,7,6,7,4,5,9,4,8,5,Leeds 010B
43,Leeds,010C,E01011274,2,3,2,1,2,5,6,2,3,3,Leeds 010C
44,Leeds,010D,E01011275,5,6,5,4,4,8,6,4,5,7,Leeds 010D
45,Leeds,011A,E01011264,6,6,6,4,5,8,7,4,6,8,Leeds 011A
