Reference Number,Number of Casualties,Casualty Class,Casualty Severity,Latitude,Longitude,Easting,Northing
2809,1,Pedestrian,Slight,53.79189051,-1.374928815,441173,433047
3109,2,Pedestrian,Fatal,53.76964386,-1.576810997,427890,430474
3309,1,Pedestrian,Slight,53.82156897,-1.558011566,429093,436258
3809,1,Pedestrian,Slight,53.77761157,-1.567670497,428487,431364
8609,1,Pedestrian,Slight,53.80247088,-1.505974443,432533,434156
11609,1,Pedestrian,Slight,53.76326628,-1.490231751,433601,429802
19109,1,Pedestrian,Slight,53.86597647,-1.680381865,421016,441155
25009,1,Pedestrian,Slight,53.81262487,-1.511657303,432151,435283
30009,1,Pedestrian,Serious,53.79403482,-1.541099429,430226,433202
37209,1,Pedestrian,Slight,53.8157829,-1.537322545,430459,435623
37509,1,Pedestrian,Slight,53.79480215,-1.539603149,430324,433288
39009,1,Pedestrian,Serious,53.7629979,-1.51658744,431864,429760
39509,1,Pedestrian,Slight,53.74259351,-1.50364424,432733,427496
43809,1,Pedestrian,Slight,53.76424816,-1.561192944,428923,429880
47409,1,Pedestrian,Slight,53.80872499,-1.588734707,427079,434817
47909,1,Pedestrian,Serious,53.83319763,-1.545139226,429932,437557
50009,1,Pedestrian,Serious,53.83410708,-1.644030587,423424,437621
57909,1,Pedestrian,Slight,53.80058045,-1.492406265,433428,433952
59109,1,Pedestrian,Slight,53.79568601,-1.547458266,429806,433383
71409,1,Pedestrian,Serious,53.80318785,-1.613085983,425479,434192
77009,1,Pedestrian,Slight,53.8444285,-1.629852098,424351,438774
78109,1,Pedestrian,Slight,53.85914256,-1.65992119,422365,440401
80209,1,Pedestrian,Slight,53.80823506,-1.460571747,435518,434819
80709,1,Pedestrian,Slight,53.79677748,-1.465380108,435211,433542
85909,1,Pedestrian,Serious,53.81396369,-1.553018258,429427,435414
86809,1,Pedestrian,Slight,53.80272737,-1.641350439,423618,434131
90809,1,Pedestrian,Slight,53.81364513,-1.454304944,435926,435424
94809,1,Pedestrian,Slight,53.77947111,-1.557482701,429157,431575
95409,1,Pedestrian,Serious,53.82364963,-1.667987517,421853,436450
101609,1,Pedestrian,Slight,53.80860599,-1.570176562,428301,434811
102109,1,Pedestrian,Slight,53.83124682,-1.4956218,433192,437362
112209,1,Pedestrian,Slight,53.81727786,-1.597947728,426467,435765
113309,1,Pedestrian,Slight,53.79766599,-1.538645576,430385,433607
119409,1,Pedestrian,Serious,53.80080979,-1.521968457,431481,433964
127409,1,Pedestrian,Slight,53.74875618,-1.555318296,429321,428159
136209,1,Pedestrian,Serious,53.77283715,-1.545473375,429953,430842
138709,1,Pedestrian,Serious,53.80849155,-1.507665427,432417,434825
139509,1,Pedestrian,Serious,53.82257469,-1.337188898,443627,436483
140309,1,Pedestrian,Slight,53.83098796,-1.552745854,429433,437308
146809,1,Pedestrian,Slight,53.80786309,-1.537212319,430472,434742
147809,1,Pedestrian,Slight,53.79584744,-1.530982901,430891,433408
152809,1,Pedestrian,Serious,53.89540118,-1.675150302,421345,444430
153309,1,Pedestrian,Serious,53.81394038,-1.602582108,426164,435392
155009,1,Pedestrian,Serious,53.83237468,-1.473588795,434641,437498
155309,1,Pedestrian,Serious,53.80850796,-1.550782964,429578,434808
156009,1,Pedestrian,Slight,53.84111215,-1.532194727,430778,438443
156309,1,Pedestrian,Slight,53.79741504,-1.511591081,432167,433591
160909,1,Pedestrian,Slight,53.7372987,-1.602426071,426222,426866
