Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
2609,434723,435534,1,1,02-Jan-09,2335,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,23,Car,53.81471561,-1.472564533
2809,441173,433047,1,1,02-Jan-09,1645,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car,53.79189051,-1.374928815
2909,443402,438684,2,2,04-Jan-09,1605,2,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,83,Car,53.84237692,-1.340296187
3109,427890,430474,1,2,05-Jan-09,705,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,42,Car,53.76964386,-1.576810997
3309,429093,436258,1,1,01-Jan-09,55,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,44,Car,53.82156897,-1.558011566
3709,429610,439798,1,1,03-Jan-09,222,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17,Car,53.85335969,-1.549816281
3809,428487,431364,1,1,02-Jan-09,1723,3,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,15,Car,53.77761157,-1.567670497
3909,425928,435480,2,2,02-Jan-09,1350,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,34,Car,53.81474322,-1.606159319
4209,428099,426648,1,1,04-Jan-09,21,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,24,Car,53.73524135,-1.573987938
4309,426535,433642,2,1,03-Jan-09,325,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car,53.79819122,-1.597097807
8409,431482,435007,2,3,04-Jan-09,1430,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,28,Car,53.81018493,-1.52184661
8509,427304,433623,3,2,05-Jan-09,1430,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,38,Car,53.79798064,-1.585423479
8609,432533,434156,1,1,06-Jan-09,1805,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,4,Car,53.80247088,-1.505974443
9009,437658,445061,1,2,03-Jan-09,1645,3,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,20,Car,53.90014451,-1.426815754
9109,421617,434392,2,2,06-Jan-09,1800,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,51,Car,53.80516047,-1.67171759
11009,432430,433799,1,1,05-Jan-09,1250,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Bus or Coach,53.79926836,-1.50757607
11309,430112,431742,2,1,07-Jan-09,1240,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,17,Bicycle,53.78091786,-1.542972807
11609,433601,429802,1,1,06-Jan-09,1725,1,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,52,Car,53.76326628,-1.490231751
11809,429436,433461,2,1,07-Jan-09,1730,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,40,Car,53.7964082,-1.553068298
12009,429298,428264,2,2,08-Jan-09,847,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,23,Car,53.7497013,-1.555657142
12909,424112,434008,1,1,06-Jan-09,1308,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,66,Bus or Coach,53.80159908,-1.633858634
13009,431503,435127,2,1,09-Jan-09,819,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,Bicycle,53.8112623,-1.521515387
13109,425186,437731,2,2,06-Jan-09,1040,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,30,Taxi,53.83501342,-1.617245478
13509,425070,437952,1,1,08-Jan-09,1100,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or Coach,53.83700554,-1.61899027
15509,440513,448481,2,1,09-Jan-09,2103,4,Frost / Ice,Darkness: street lights present and lit,Other,Driver or rider,Slight,Male,21,Car,53.93066925,-1.382910024
17709,432067,428607,2,2,07-Jan-09,1805,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,24,Car,53.75262142,-1.513627583
18009,429771,431652,2,1,09-Jan-09,1539,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,21,Motorcycle,53.78012849,-1.548156873
18209,422040,443853,1,1,09-Jan-09,147,6,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,38,Goods Vehicle,53.89018561,-1.664614817
18409,430859,424436,2,2,08-Jan-09,830,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,Car,53.71520203,-1.532365401
19109,421016,441155,1,1,06-Jan-09,1120,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,88,Car,53.86597647,-1.680381865
19209,429700,432100,3,1,09-Jan-09,752,1,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,27,Car,53.78415951,-1.549191263
