Col.Number,Reference.Number,Easting,Northing,Number.of.Vehicles,Number.of.Casualties,Accident.Date,Time..24hr.,X1st.Road.Class,Road.Surface,Lighting.Conditions,Weather.Conditions,Casualty.Class,Casualty.Severity,Sex.of.Casualty,Age.of.Casualty,Type.of.Vehicle,Latitude,Longitude
1,3309,429093,436258,1,1,01/01/2009,55,6,1,4,1,3,3,1,44,9,53.8215689656,-1.55801156614
2,2609,434723,435534,1,1,02/01/2009,2335,6,1,4,1,1,2,2,23,9,53.8147156112,-1.47256453311
3,2809,441173,433047,1,1,02/01/2009,1645,6,1,4,1,3,3,2,12,9,53.7918905134,-1.374928815
4,3809,428487,431364,1,1,02/01/2009,1723,3,1,4,1,3,3,1,15,9,53.7776115677,-1.56767049717
5,3909,425928,435480,2,2,02/01/2009,1350,6,1,1,1,1,3,2,34,9,53.8147432166,-1.60615931919
6,3909,425928,435480,2,2,02/01/2009,1350,6,1,1,1,1,3,1,25,9,53.8147432166,-1.60615931919
7,19809,425642,434240,2,1,02/01/2009,2300,3,1,4,1,1,3,1,57,9,53.8036113031,-1.61060679473
8,3709,429610,439798,1,1,03/01/2009,222,6,1,4,1,2,3,1,17,9,53.8533596853,-1.5498162809
9,4309,426535,433642,2,1,03/01/2009,325,6,2,4,1,2,3,2,23,9,53.7981912176,-1.59709780681
10,9009,437658,445061,1,2,03/01/2009,1645,3,2,6,1,2,3,1,20,9,53.9001445092,-1.4268157539
11,9009,437658,445061,1,2,03/01/2009,1645,3,2,6,1,2,3,1,23,9,53.9001445092,-1.4268157539
12,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,1,3,2,18,9,53.8111990766,-1.52144016373
13,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,2,47,9,53.8111990766,-1.52144016373
14,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,1,11,9,53.8111990766,-1.52144016373
15,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,2,15,9,53.8111990766,-1.52144016373
16,66209,431508,435120,2,5,03/01/2009,1745,6,1,4,1,2,3,2,42,9,53.8111990766,-1.52144016373
17,2909,443402,438684,2,2,04/01/2009,1605,2,1,4,1,1,3,1,83,9,53.8423769165,-1.34029618737
18,2909,443402,438684,2,2,04/01/2009,1605,2,1,4,1,2,3,2,65,9,53.8423769165,-1.34029618737
19,4209,428099,426648,1,1,04/01/2009,21,3,2,4,1,1,3,2,24,9,53.7352413475,-1.57398793827
20,8409,431482,435007,2,3,04/01/2009,1430,6,1,1,1,1,3,1,28,9,53.8101849305,-1.52184660967
21,8409,431482,435007,2,3,04/01/2009,1430,6,1,1,1,1,3,1,29,9,53.8101849305,-1.52184660967
22,8409,431482,435007,2,3,04/01/2009,1430,6,1,1,1,2,3,1,26,9,53.8101849305,-1.52184660967
23,3109,427890,430474,1,2,05/01/2009,705,3,2,4,1,1,3,1,42,9,53.7696438563,-1.57681099703
24,3109,427890,430474,1,2,05/01/2009,705,3,2,4,1,3,1,1,18,9,53.7696438563,-1.57681099703
25,8509,427304,433623,3,2,05/01/2009,1430,3,1,1,1,1,3,1,34,9,53.7979806383,-1.58542347918
26,8509,427304,433623,3,2,05/01/2009,1430,3,1,1,1,1,3,2,38,9,53.7979806383,-1.58542347918
27,11009,432430,433799,1,1,05/01/2009,1250,6,1,1,1,2,3,1,40,11,53.7992683581,-1.50757606975
28,22509,431463,432466,1,1,05/01/2009,2330,3,1,4,1,1,3,1,23,9,53.7873457959,-1.52239476761
29,8609,432533,434156,1,1,06/01/2009,1805,6,1,4,1,3,3,2,4,9,53.8024708836,-1.50597444303
30,9109,421617,434392,2,2,06/01/2009,1800,4,1,4,1,1,3,1,78,9,53.8051604683,-1.67171758984
31,9109,421617,434392,2,2,06/01/2009,1800,4,1,4,1,1,3,1,51,9,53.8051604683,-1.67171758984
32,11609,433601,429802,1,1,06/01/2009,1725,1,1,4,1,3,3,1,52,9,53.7632662779,-1.49023175131
33,12909,424112,434008,1,1,06/01/2009,1308,3,1,1,1,2,3,1,66,11,53.801599075,-1.63385863356
