Reference Number,Crossing Type,Street Name,Easting,Northing,Postcode
812L,Junction Crossing,KENT RD / LOWTOWN - PUDSEY,422815,433549,LS28 9AY
493L,Junction Crossing,CHAPELTOWN ROAD/HAREHILLS AVENUE/REGINALD TERRACE,430949,435785,LS7 3EX
388L,Junction Crossing,POLLARD LANE SHUTTLE,423949,436834,LS13 1EQ
100L,Junction Crossing,YORK STREET / DUKE STREET / LLOYDS ARMS,430784,433478,LS9 8PA
487L,Junction Crossing,Roundhay Road HOV,432104,436013,LS8 2SP
682L,Junction Crossing,"Church Street/Butcher Lane/Commercial Street (Morrisons, Rothwell)",434365,428155,LS26 0QE
731L,Junction Crossing,"GYPSY LANE / RING ROAD, BEESTON",429010,429726,LS11 5LG
818L,Junction Crossing,A647 BRADFORD ROAD / GALLOWAY LANE / WOODHALL LANE,420361,434240,LS28 7HQ
201L,Junction Crossing,TONG ROAD / WHINGATE / UPPER WORTLEY ROAD,426646,433096,LS12 3BG
203L,Junction Crossing,STANNINGLEY ROAD / ARMLEY RIDGE ROAD,426316,434005,LS12 2QX
104L,Junction Crossing,HEADROW / ALBION STREET,430053,433789,LS1 8EQ
105L,Junction Crossing,HEADROW /   PARK ROW / COOKRIDGE STREET,429944,433781,LS1 5JW
106L,Junction Crossing,HEADROW / EAST PARADE / CALVERLEY STREET,429808,433785,LS1  5RB
107L,Junction Crossing,KIRKGATE / NEW YORK STREET / CALL LANE,430442,433450,LS2 7DH
108L,Junction Crossing,CALVERLEY STREET / GREAT GEORGE STREET,429786,433930,LS1 3DL
361L,Junction Crossing,KIRKSTALL RD / CARDIGAN FIELDS /  RETAIL PARK,427601,434519,LS4 2DQ
362L,Junction Crossing,MCLAREN FIELDS / ASTON ROAD / LOWER TOWN STREET,424854,434716,LS13 2BH
367L,Junction Crossing,COMMERCIAL RD.  /  SAVINS MILL WAY  /  KIRKSTALL,426328,435529,LS5 3BH
225L,Junction Crossing,PUDSEY ROAD /  WOOD  LN /  HOUGH TREE ROAD,424489,433640,LS13 4HS
227L,Junction Crossing,HEIGHTS LA. / HILLTOP RD.  --  SHUTTLE,425867,433360,LS12 3SP
